Ship Date,Profit
11/29/2014,195.285
11/11/2011,348.81
9/18/2014,90.81
2/27/2014,13.20144
9/5/2013,232
12/25/2013,175.5
6/19/2014,0
3/17/2014,368.256
7/13/2014,65.7
6/12/2014,114.252
10/17/2014,441.36
8/9/2014,280.44
12/7/2012,-129.726
12/28/2012,-417.813
5/20/2013,1042.32
6/18/2013,207.06
11/7/2014,905.7
5/31/2012,741.6
8/20/2013,234.36
6/5/2011,384.81
7/15/2011,-95.7
10/3/2011,-337.806
10/24/2011,160.77
11/20/2011,674.73
7/18/2014,-1303.056
6/5/2014,46.88
12/17/2014,756
6/28/2014,265.44
12/24/2014,426.58
2/9/2012,191.316
1/27/2011,-0.072
8/5/2012,261.8
10/31/2014,541.3698
3/4/2012,327.06
6/12/2012,296.94
2/26/2011,732.72
9/17/2014,323.955
7/27/2013,205.56
4/1/2013,471.94
10/25/2014,460.62
6/26/2014,1035.58
11/5/2013,297.5
12/15/2012,292.8
5/6/2013,265.92
5/12/2014,423.0085
9/10/2011,682.92
4/26/2012,844.116
11/4/2013,242.64
4/17/2011,250.38
10/14/2012,112.392
5/26/2014,207.475
11/4/2014,1722.48
4/14/2013,323.82
11/11/2013,381.96
10/17/2012,1093.92
10/16/2012,-189.456
2/3/2014,91.95
10/16/2012,1563.48
12/10/2013,585.552
12/7/2014,743.988
9/23/2013,224.88
1/5/2013,176.96
12/31/2014,202.185
11/19/2013,1035.58
9/17/2011,420.588
5/15/2014,601.9699
9/11/2014,198.636
6/19/2013,447.75
12/8/2011,500.976
9/21/2014,17.532
11/30/2013,1459.2
2/14/2014,1233
2/11/2014,568.44
8/7/2013,211.2552
4/18/2014,80.4
3/25/2011,909.9818
5/7/2014,534.48
11/6/2013,909.54
6/12/2014,459
9/2/2012,324.3825
6/22/2013,361.41
8/28/2014,275.94
5/29/2012,-0.024
5/21/2014,471.6
4/30/2013,158.64
12/25/2013,393.39
10/15/2014,741.5
4/17/2014,304.7
12/3/2014,-191.163
5/13/2012,417.96
6/24/2013,849.87
5/6/2012,0
11/15/2011,1602.99
12/24/2014,842.52
5/19/2014,861.48
12/12/2014,95.04
12/11/2011,511.095
9/15/2013,952.2
3/5/2011,258.9
1/6/2012,339.8778
11/3/2012,-128.7468
11/19/2013,86.6364
8/17/2013,712.44
6/8/2013,228.36
10/6/2014,978.84
3/3/2014,84.96
11/4/2013,116.952
12/25/2013,1554.432
5/15/2014,300.9
7/8/2014,854.28
5/21/2012,561.6
8/6/2011,319.35
7/30/2013,-913.176
2/16/2013,90
5/23/2012,44.04
8/9/2014,970.2
11/18/2013,390.8
2/14/2014,276.534
11/14/2014,195.44
4/1/2013,353.133
8/26/2013,1112.4
11/4/2014,239.9058
8/21/2013,-458.19
5/31/2014,236.67
8/29/2012,606.42
7/5/2014,439.2
3/17/2012,-993.195
10/4/2014,767.2005
9/18/2014,375.7774
8/12/2014,290.598
9/9/2013,68.31
9/11/2014,293.16
11/2/2011,481.47
10/21/2012,225.36
2/18/2014,-111.6
2/29/2012,541.8
12/10/2012,956.58
12/14/2012,260.1
6/21/2014,509.568
12/22/2012,14.4315
5/17/2014,300.076
12/22/2014,33.3124
11/11/2014,852.48
6/14/2013,-3059.82
5/12/2012,482.22
9/13/2013,260.4
7/28/2013,519.21
10/14/2014,348.24
11/25/2011,252.896
5/12/2013,1159.9855
10/25/2014,-18.18
9/1/2012,874.9875
10/15/2013,653.4
2/16/2011,319.8
5/1/2014,122.85
3/13/2011,244.2
8/8/2012,232.68
12/23/2012,-1023.03
8/7/2012,583.38
6/22/2012,460.08
2/9/2013,246.84
10/3/2011,839.04
6/26/2012,-98.205
12/22/2013,333.048
10/14/2012,89.04
9/5/2011,-953.442
7/18/2014,352.08
12/13/2011,553.98
4/16/2014,119.55
11/17/2014,215.9973
9/2/2011,341.49
8/2/2013,184.995
9/14/2014,6.6
8/7/2014,340.2
11/23/2014,316.701
5/9/2012,324.18
8/31/2012,1246.8
12/29/2013,573.12
1/31/2013,-127.413
11/7/2013,-292.1
12/29/2011,0
12/4/2012,40.95
5/23/2013,992.16
11/2/2011,-734.5264
6/28/2014,341.73
11/9/2011,1995.99
7/28/2013,110.28
5/10/2011,239.996
10/29/2011,518.76
7/4/2013,449.985
12/27/2012,105.24
12/24/2012,356.0414
5/10/2012,747.72
1/12/2011,260.82
10/22/2013,751.7601
7/9/2012,593.64
6/20/2011,653.1
1/11/2012,-776.325
2/15/2014,1040.55
8/16/2013,52.4979
4/14/2012,332.7
1/4/2014,188.64
2/14/2013,175.5156
12/19/2014,421.56
7/1/2014,-295.9785
10/7/2014,843.1706
10/8/2014,226.92
6/24/2013,1383.9
7/14/2014,231.264
4/27/2014,922.05
5/8/2011,35.36
10/10/2011,581.64
11/16/2014,939.26
12/19/2014,606.2
11/19/2014,150.294
4/8/2013,133.605
9/19/2014,222.66
8/29/2013,180.441
7/14/2014,196.533
10/12/2014,271.08
6/7/2013,-207.844
8/22/2012,320.04
8/30/2011,873.36
12/5/2012,274.9185
10/18/2014,394.245
12/21/2013,-9.492
6/22/2012,391.77
8/20/2013,-56.1114
6/25/2012,67.84
5/25/2012,168.3
5/3/2013,359.3025
6/15/2012,176.4
12/22/2013,681.204
11/22/2014,-2287.782
7/25/2014,141.1884
2/9/2013,568.32
10/29/2011,829.5
1/19/2014,83.281
3/1/2013,405.72
11/30/2011,-113.364
8/24/2012,630.99
5/28/2012,473.907
11/8/2011,303.7
9/27/2011,690.12
10/19/2013,172.92
9/22/2013,244.2496
6/9/2013,1081.35
5/16/2013,-68.7225
10/1/2011,399.2994
1/19/2014,312.676
10/24/2013,391.35
8/14/2014,274.08
5/8/2013,-238.028
7/15/2013,-103.608
1/11/2011,746.4078
12/6/2014,669.76
1/13/2014,101.76
12/4/2014,-15.4188
6/27/2014,665.4
3/17/2011,1537.83
1/21/2013,-597.681
11/21/2011,-133.728
9/2/2012,499.446
12/28/2014,772.68
6/20/2012,381.78
7/15/2013,173.25
5/25/2012,185.64
8/9/2014,74.16
8/15/2014,183.24
12/28/2012,131.82
1/10/2013,1163.883
12/31/2014,-102.411
3/4/2013,-134.064
12/20/2013,2447.1
7/4/2012,-1806.24
8/24/2012,961.38
7/3/2013,291.3778
7/7/2012,124.788
12/4/2014,272.58
4/13/2011,505.176
5/9/2013,88.0299
10/9/2013,2591.9568
11/23/2012,0
9/1/2014,256.41
11/8/2013,238.98
9/5/2013,944.9865
11/24/2013,820.44
1/3/2015,301.466
3/9/2013,-786.0144
2/5/2012,463.26
3/19/2013,282.516
3/23/2012,209.706
5/29/2014,43.32
6/16/2013,62.1
10/18/2011,624.9875
6/4/2014,793.716
6/20/2014,90.972
12/11/2013,266.58
10/14/2013,1035.58
10/18/2013,114.972
12/28/2011,115.2
4/19/2013,449.04
8/9/2011,500.184
12/24/2012,517.4793
10/24/2011,-576.909
2/26/2011,41.25
3/12/2011,382.2
1/29/2014,795.24
6/18/2014,421.2
12/30/2011,1341.15
1/11/2013,-112.752
1/10/2013,275.7
2/4/2014,321.552
11/6/2011,183.288
5/7/2014,0
6/27/2011,610.812
9/24/2013,16.56
9/2/2012,515.7525
6/19/2013,345.15
7/26/2014,121.9644
12/22/2012,165.66
10/1/2013,730.26
3/28/2014,689.088
4/16/2014,1264.7559
12/3/2011,742.35
6/1/2014,237.15
6/17/2014,-1128.435
11/16/2011,83.04
6/5/2013,-487.368
2/21/2014,-12.849
8/19/2011,152.7
3/11/2012,57
11/4/2012,553.3902
8/6/2014,508.95
6/21/2014,469.44
1/1/2015,46.9206
9/28/2012,419.8032
2/23/2013,930.48
11/6/2014,20.9148
9/21/2012,-1665.0522
11/26/2014,858.9
9/29/2014,189.42
11/7/2014,-36.081
9/4/2014,0
11/3/2011,83.5128
9/30/2011,59.6556
4/20/2014,180.1
3/8/2013,-0.12
2/25/2011,202.32
12/5/2014,284.1855
9/20/2014,275.52
7/11/2013,1989.54
6/5/2013,364.4595
1/1/2014,165.5986
3/30/2012,610.8624
2/2/2014,455.565
9/10/2011,-571.32
2/21/2014,18
6/2/2012,-1172.736
1/4/2013,323.4
11/25/2012,230.128
4/17/2014,286.56
8/7/2012,246.72
11/22/2014,325.611
12/17/2011,241.38
6/23/2014,-53.37
11/6/2014,292.776
5/25/2013,928.44
10/7/2014,18.72
12/31/2011,1528.38
10/1/2014,21.69
8/29/2011,300.735
8/28/2014,-689.256
11/21/2014,180.06
12/7/2012,26.73
9/6/2014,536.22
10/2/2014,-706.248
10/15/2014,346.0396
9/28/2012,872.82816
1/2/2015,899.1
1/25/2014,778.92
7/18/2013,953.274
3/3/2011,-599.94
3/31/2014,754.704
6/6/2013,1141.2
3/12/2013,667.113
11/24/2014,626.185
10/17/2014,567
5/23/2011,55.89
11/7/2011,247.996
9/3/2014,91.2
6/22/2014,94.836
5/13/2014,1032.57
8/20/2013,-1558.152
6/27/2013,1015.02
1/7/2012,742.632
1/24/2011,286.56
12/8/2014,148.68
7/4/2013,781.74
5/26/2012,222.76
12/14/2014,756.8715
12/15/2012,182.4
3/7/2014,-880.956
6/4/2014,-295.5096
6/29/2013,382.176
10/3/2011,200.52
6/9/2013,-690.536
10/18/2013,107.487
12/24/2013,272.52
11/13/2014,473.6106
11/22/2014,213.216
11/13/2012,-1021.671
6/13/2011,391.4976
4/12/2014,1341.15
10/21/2011,195.34536
4/30/2012,327.24
9/2/2012,51.42
4/21/2012,103.44
12/22/2013,-407.136
6/8/2013,505.8
7/1/2012,820.32
8/20/2012,901.56
8/18/2014,-886.05
6/11/2014,140.9568
9/9/2013,26.16
6/1/2014,108.783
7/1/2013,1060.56
6/25/2011,357.1911
5/10/2014,98.28
11/18/2013,241.1046
2/14/2014,359.52
12/5/2014,-445.113
8/29/2012,639.51
8/8/2014,455.64
11/30/2013,259.02
8/23/2011,1098.45
3/13/2014,291.6
4/7/2013,100.98
9/7/2014,92.392
5/22/2014,1423.44
4/25/2013,148.3524
3/14/2014,335.9944
9/16/2012,-81.81
9/28/2014,57.33
10/9/2012,865.08
10/31/2014,106.7412
11/25/2011,-5.853
12/13/2014,0
12/10/2011,-0.032
12/12/2013,111.517
12/17/2013,1220.25
4/18/2014,190.05
12/24/2014,-396.4275
9/20/2013,534.33
12/25/2013,843.1706
10/25/2014,9.0912
12/28/2012,-1294.3503
10/14/2013,397.53
4/27/2012,-326.97
6/23/2014,397.08
12/3/2012,509.86
7/2/2014,860.16
6/28/2014,-96.96
9/19/2012,-495.63
12/2/2013,97.38
9/18/2014,94.2784
7/25/2014,-53.01
9/8/2014,146.16
12/10/2012,97.1946
12/29/2013,899.982
1/22/2014,-1736.28
12/10/2012,249.995
7/1/2014,82.26
1/26/2012,141.96
7/12/2012,79.56
11/30/2011,69.3
12/1/2014,488.6
12/9/2012,-152.4924
3/23/2012,353.5792
12/21/2012,249.72
11/25/2013,959.14
9/4/2014,-0.126
5/16/2014,139.98
11/9/2013,296.082
11/13/2011,714.96
4/11/2013,310.8
6/13/2014,-447.18
6/15/2013,-813.492
7/9/2014,291.6
5/5/2013,1155.36
12/18/2012,-2639.9912
11/8/2012,178.94928
9/7/2014,-117.882
9/18/2011,-0.189
1/1/2014,-195.4425
1/1/2014,313.2624
9/4/2014,169.14
4/4/2012,209.993
6/29/2013,-128.88
6/28/2011,312.912
9/26/2014,-60.27
3/21/2011,70.49
10/31/2012,145.782
10/8/2013,338.22
11/15/2012,102.84
1/30/2012,292.8
12/22/2012,115.32
12/7/2014,43.4646
12/7/2013,659.98
12/21/2014,-63.756
11/22/2011,123.75
10/20/2013,7.263
10/13/2014,1220.52
3/30/2014,1080.54
1/8/2014,682.5168
1/3/2013,126.63
12/5/2012,125.245
11/17/2012,322.1829
4/13/2014,-110.52
10/5/2014,850.836
11/17/2012,24.624
10/20/2014,278.64
12/7/2014,-88.2
10/25/2012,44.22
9/26/2011,289.2
11/18/2011,516.36
10/6/2011,-6.549
3/15/2012,-29.664
4/11/2013,336.635
12/31/2011,534.4
10/22/2014,374.3792
2/4/2014,271.332
11/18/2013,1188.81
3/18/2013,297.6435
8/19/2012,-136.26
7/16/2014,327.9004
1/18/2012,486.054
4/25/2012,625.8
5/10/2012,194.427
10/17/2013,102.072
8/8/2011,573
12/21/2011,820.44
2/16/2011,75.3732
11/19/2011,-1479.126
11/8/2012,231.24
1/10/2012,337.41
10/10/2014,1351.9896
9/27/2011,588.735
8/30/2012,65.04
8/28/2014,209.979
9/23/2011,701.9883
6/21/2014,794.577
6/11/2012,832.2
5/4/2013,68.4
10/5/2013,377.70176
12/19/2011,616.815
10/29/2012,429.3
2/25/2013,1295.73
9/12/2014,-623.94
10/19/2013,284.004
4/7/2013,378.274
10/18/2013,247.6014
3/14/2014,320.16
9/21/2014,136.8
11/6/2011,126.16
10/6/2014,83.52
7/13/2014,438.75
3/19/2012,474.96
6/15/2013,-486.465
9/3/2013,174.78
5/28/2013,110.34
7/4/2011,1622.88
12/14/2011,41.232
9/19/2014,-412.6154
8/17/2013,381.6
9/12/2012,316.2
6/17/2013,361.44
10/24/2013,184.95
6/15/2013,324.3825
9/22/2012,521.766
5/17/2014,230.4
9/21/2011,-251.9958
12/13/2011,-0.054
10/22/2013,275.7
12/4/2013,45.9
12/28/2014,141.48
2/11/2012,519.21
6/12/2013,226.7946
8/29/2014,311.46
2/15/2013,-632.799
9/7/2014,213.735
5/14/2011,-135.144
10/29/2013,75.68
8/14/2013,22.08
6/30/2014,890.82
2/1/2014,126.54
5/30/2014,518.76
10/28/2011,63.6
1/30/2014,15.12
5/24/2013,790.47
8/15/2011,-147.5229
5/5/2011,224.94
8/27/2013,13.08
10/7/2012,780.24
6/26/2013,333.36
4/30/2011,148.704
4/24/2014,80.28
6/2/2013,69.999
3/30/2014,126.336
9/12/2014,411.18
11/20/2013,180.64
10/20/2014,212.76
4/16/2014,170.88
3/12/2012,927.6
6/20/2012,-53.886
7/15/2011,-8.37
6/4/2013,976.8
6/20/2013,479.88
3/29/2014,96.39
9/17/2011,-127.46
9/25/2012,364.68
8/20/2014,302.373
12/20/2011,114.6
8/26/2014,942.8157
8/21/2011,178.95
9/28/2012,104.616
4/5/2014,-821.961
8/13/2013,64.0728
10/19/2013,286.5
1/26/2013,110
12/14/2014,-76.5585
6/3/2011,298.5096
11/20/2013,592.7896
10/7/2014,728.7
10/10/2014,-193.152
10/20/2014,124.011
9/13/2011,124.578
1/24/2013,349.2
11/12/2014,-146.1096
10/29/2013,78.396
8/7/2011,-553.878
5/4/2013,48.06
10/12/2013,239.52
10/30/2013,-149.364
10/24/2013,172.9125
2/14/2011,327.12
8/27/2013,108.9
1/6/2012,399.9765
6/26/2011,184.5
6/1/2013,127.335
8/16/2014,371.04
10/28/2014,632.4
11/27/2014,78.72
9/14/2012,920.754
6/13/2011,-27.936
3/31/2011,255.48
11/7/2014,101.22
11/26/2013,923.535
3/22/2014,-45.54
9/13/2011,-571.9956
8/29/2014,182.82
10/8/2012,234.27
9/25/2011,241.89
1/8/2013,308.16
10/8/2013,-938.28
12/12/2013,150.888
11/19/2011,39.552
12/2/2012,506.52
2/2/2014,274.08
3/23/2013,182.28
5/19/2011,20.622
8/19/2014,716.4
10/18/2013,-428.868
10/3/2012,118.72
6/22/2012,660.366
11/18/2014,207.996
4/23/2012,453.87
12/3/2011,171.3
9/19/2014,50.56
9/22/2013,141.176
2/10/2013,255.69
1/24/2014,224.94
12/4/2014,-236.88
2/28/2011,103.8
11/14/2012,494.403
7/2/2011,-0.0525
9/29/2012,89.07
11/5/2012,1202.016
7/14/2013,604.86
11/23/2014,-705.096
3/9/2012,449.88
9/8/2012,68.7
11/13/2014,157.8702
10/2/2012,350.475
6/9/2011,129.198
12/21/2013,117.0104
12/5/2011,225.4668
6/8/2013,207.147
10/18/2014,6.378
12/17/2014,9.96
7/7/2013,186.06
8/23/2011,238.68
6/2/2014,250.38
1/9/2013,124.86
12/4/2014,28.56
8/7/2013,-41.805
7/25/2014,558.72
5/8/2013,232.083
12/30/2012,174.6
12/9/2012,236.34
6/27/2014,-821.961
9/6/2011,371.49
5/2/2011,214.76
12/30/2012,171.6975
9/4/2012,335.9944
9/16/2013,613.17
9/15/2012,126.59256
2/14/2014,381.717
1/3/2013,286.713
1/3/2014,140.58
12/7/2014,405.36
11/23/2014,-321.372
10/8/2014,270.72
10/9/2014,124.011
6/21/2011,1061.5722
8/8/2013,14.976
7/24/2011,331.68
6/17/2011,-177.39
2/1/2013,-458.43
12/25/2012,340.83
12/25/2014,94.4937
5/29/2013,179.73
1/30/2013,1594.89
2/22/2014,361.2994
4/4/2012,188.01
10/6/2014,438.75
5/31/2013,132.168
3/21/2014,205.92
10/18/2014,396.6696
12/19/2012,298.08
11/17/2012,-916.0443
1/9/2011,999.36
5/3/2011,551.976
4/18/2012,-124.659
6/17/2012,-0.0525
1/31/2013,-88.809
7/10/2013,-1476.09
6/8/2013,841.7925
12/6/2011,594.216
10/12/2014,-14.355
3/29/2014,103.068
7/6/2012,-30.429
10/8/2011,923.44
8/2/2014,156.24
5/12/2012,704.628
6/29/2014,-781.848
7/27/2012,56.392
8/20/2013,206.64
4/18/2012,119.686
9/2/2011,809.28
6/15/2013,43.1991
7/15/2013,547.569
7/5/2013,579.81
5/20/2013,75.93
10/25/2014,-127.5792
5/4/2014,193.608
3/28/2014,573.12
8/2/2014,129.8
1/20/2012,364.8
9/8/2012,135.855
12/11/2014,132.3
12/14/2013,352
3/13/2013,240.28
7/2/2012,923.37
12/19/2014,546.96
5/5/2012,-286.88704
11/12/2012,655.65
1/19/2011,238.653
12/23/2013,-96.48
12/1/2014,305.37
7/30/2013,114.24
6/4/2014,214.368
7/10/2014,-113.998
6/8/2012,251.6934
6/1/2014,422.0524
8/2/2014,227.2179
8/23/2013,178.11
8/8/2012,-0.336
8/29/2011,168.1855
8/25/2013,43.35
2/7/2014,250.396
12/11/2014,526.31992
10/26/2012,356.4
3/31/2014,569.9905
9/29/2014,-253.4337
10/22/2014,1463.07
5/17/2012,91.38
5/3/2014,529.83
6/7/2013,5.65776
7/23/2014,198.04
5/16/2013,498.24
12/21/2011,163.7874
12/6/2014,151.0974
5/7/2014,89.22
5/28/2014,35.37
3/30/2014,68.55
8/5/2014,848.7
11/14/2011,181.6512
8/2/2011,254.52
7/3/2012,741.6
9/15/2013,101.214
3/19/2014,340.872
1/2/2015,317.16
12/9/2014,903.9933
11/12/2012,1013.127
11/28/2014,486.8
9/9/2014,706.68
7/5/2011,532.392
6/21/2014,941.688
9/2/2013,239.94
1/1/2015,781.74
11/24/2014,431.76
12/21/2012,327.14
6/17/2013,-71.676
10/3/2013,-0.072
11/28/2013,-325.116
5/29/2013,332.178
12/30/2011,49.65156
9/7/2014,199.782
7/31/2011,534.213
7/4/2013,81.45
4/2/2012,-26.67
3/1/2013,471.6
6/15/2012,-54.963
6/27/2014,181.68
6/11/2014,479.52
12/23/2012,445.86
3/1/2013,400.32
12/31/2014,208.608
12/5/2012,-42.534
11/29/2014,139.59
2/19/2012,356.004
10/26/2014,172.8
4/1/2014,700.5
10/26/2014,-13.9812
2/19/2011,645.24
7/14/2014,114.7785
7/6/2012,286.974
11/30/2014,103.2
11/7/2011,216.72
7/16/2014,-133.632
1/15/2012,33
12/19/2014,31.5
10/12/2012,111.591
6/1/2011,125.2692
8/28/2013,938.7
9/12/2011,227.757
2/8/2014,1192.52
5/27/2012,233.8
8/15/2013,-204.312
3/10/2013,115.92
11/1/2014,-72.441
12/11/2013,356.225
12/28/2012,379.82
11/4/2013,248.34
9/8/2014,83.88576
12/31/2011,-694.2936
9/22/2014,153.84
9/27/2011,73.194
10/16/2014,187.53
9/11/2014,151.0605
8/8/2011,116.4
11/24/2014,886.05
8/12/2012,456.588
6/28/2011,364.23
1/11/2011,13.77
12/20/2011,101.3832
5/19/2013,413.04
7/26/2013,400.8
